S,I,R
0.9969188541666667,1.0729166666666667e-05,0.003070416666666667
0.996908125,1.0729166666666667e-05,0.0030811458333333333
0.9968972916666667,1.0833333333333332e-05,0.003091875
0.9968863541666667,1.09375e-05,0.003102708333333333
0.9968754166666667,1.09375e-05,0.0031136458333333333
0.9968647916666667,1.0625e-05,0.003124583333333333
0.9968540625,1.0729166666666667e-05,0.003135208333333333
0.99684375,1.03125e-05,0.0031459375
0.9968325,1.125e-05,0.00315625
0.9968194791666667,1.3020833333333332e-05,0.0031675
0.9968047916666667,1.46875e-05,0.003180520833333333
0.9967884375,1.6354166666666667e-05,0.0031952083333333333
0.9967720833333333,1.6354166666666667e-05,0.0032115625
0.9967547916666667,1.7291666666666666e-05,0.0032279166666666667
0.9967366666666667,1.8125e-05,0.003245208333333333
0.9967161458333332,2.0520833333333335e-05,0.003263333333333333
0.9966934375,2.2708333333333334e-05,0.0032838541666666667
0.99667125,2.21875e-05,0.0033065625
0.9966459375,2.53125e-05,0.00332875
0.9966184375,2.75e-05,0.0033540625
0.9965870833333332,3.1354166666666665e-05,0.0033815625
0.9965569791666667,3.0104166666666665e-05,0.003412916666666667
0.9965265625,3.0416666666666666e-05,0.003443020833333333
0.9964973958333333,2.9166666666666666e-05,0.0034734375
0.9964691666666667,2.8229166666666664e-05,0.003502604166666667
0.9964429166666667,2.625e-05,0.0035308333333333333
0.996414375,2.8541666666666665e-05,0.003557083333333333
0.9963852083333333,2.9166666666666666e-05,0.003585625
0.9963554166666667,2.9791666666666665e-05,0.0036147916666666668
0.9963257291666667,2.96875e-05,0.003644583333333333
0.9962975,2.8229166666666664e-05,0.003674270833333333
0.9962713541666667,2.6145833333333336e-05,0.0037025
0.9962464583333333,2.4895833333333333e-05,0.003728645833333333
0.99622,2.6458333333333334e-05,0.0037535416666666667
0.9961926041666667,2.7395833333333336e-05,0.00378
0.996166875,2.5729166666666664e-05,0.003807395833333333
0.9961433333333333,2.3541666666666665e-05,0.003833125
0.9961209375,2.2395833333333333e-05,0.0038566666666666667
0.9960997916666667,2.1145833333333333e-05,0.0038790625
0.99608,1.979166666666667e-05,0.0039002083333333332
0.9960605208333333,1.9479166666666668e-05,0.00392
0.9960411458333333,1.9375e-05,0.003939479166666667
0.9960205208333333,2.0625e-05,0.003958854166666667
0.9960011458333333,1.9375e-05,0.003979479166666667
0.9959854166666667,1.572916666666667e-05,0.003998854166666667
0.995974375,1.1041666666666668e-05,0.0040145833333333335
0.9959652083333332,9.166666666666666e-06,0.004025625
0.9959560416666667,9.166666666666666e-06,0.0040347916666666666
0.9959472916666667,8.75e-06,0.004043958333333333
0.9959403125,6.979166666666667e-06,0.0040527083333333335
0.995935,5.3125e-06,0.0040596875
0.9959308333333333,4.166666666666667e-06,0.004065
0.9959264583333333,4.375e-06,0.004069166666666667
0.9959219791666667,4.479166666666667e-06,0.004073541666666667
0.9959164583333333,5.520833333333334e-06,0.004078020833333333
0.9959098958333333,6.5625e-06,0.004083541666666667
0.9959035416666667,6.354166666666667e-06,0.004090104166666667
0.9958977083333332,5.833333333333334e-06,0.004096458333333333
0.9958917708333332,5.9375e-06,0.004102291666666667
0.9958835416666667,8.229166666666666e-06,0.004108229166666667
0.9958753125,8.229166666666666e-06,0.004116458333333333
0.9958673958333333,7.916666666666667e-06,0.0041246875
0.9958609375,6.458333333333334e-06,0.004132604166666667
0.9958523958333333,8.541666666666666e-06,0.0041390625
0.9958434375,8.958333333333334e-06,0.004147604166666667
0.9958336458333333,9.791666666666666e-06,0.0041565625
0.9958233333333333,1.03125e-05,0.004166354166666667
0.9958121875,1.1145833333333333e-05,0.004176666666666667
0.9958014583333333,1.0729166666666667e-05,0.0041878125
0.9957908333333333,1.0625e-05,0.004198541666666667
0.9957798958333333,1.09375e-05,0.004209166666666667
0.9957692708333333,1.0625e-05,0.004220104166666667
0.9957585416666667,1.0729166666666667e-05,0.0042307291666666665
0.9957473958333333,1.1145833333333333e-05,0.004241458333333333
0.9957346875,1.2708333333333333e-05,0.004252604166666667
0.9957225,1.21875e-05,0.0042653125
0.9957097916666667,1.2708333333333333e-05,0.0042775
